SN,Title,Company,Experience,Salary,Description
10,Bussiness Analyst,Eminence Tech System Private Limited,3-5 years,Not Specified,"The Robotics Process Automation Business Analyst helps define the business case for the  proposed automation of the business processes by reviewing the current process, identifying  the automation potential of the process, and the potential FTE takeout. The process architect  working with the customer subject matter experts, and the technical architect designs the  steps in the process that can be automated (with or without reengineering), and which serves  as a basis for the development team to implement the robotics. The business analyst will also review the design at the design stage, validates the developed  automation to ensure it meets the intended design and the business benefitsDUTIES / ACCOUNTABILITIES Responsibilities include, but may not be restricted to:Analyze an organization and understand its processes and systems, to define the  current state of the process (as is process map) and documenting relevant  information needed to determine automation potential. The examples are as below : o Process steps, number of applications involved, and process steps per application o Process volumes, including any seasonal variations. o FTE needed to execute the process o Average handling time o Process interdependencies o Target SLA , Financial or regulatory points associated with the process. o Process error rate, error volumes, and exception handling steps o % of process steps including paper, voice, digital etc.  Define the future state and/or business solution to automate the defined processes  by designing the to-be process maps that includes some of the following  information: o Identifying & documenting clearly  The steps in the process suited for automation  The source systems, work queues, the flow of the steps, the decision points, the  exception paths, and the business rules  Outputs and exceptional handling scenarios  Scenarios and test data o Reduction in Average handling, and FTE takeout as a result of automation o Recommendations to alter or reengineer process to improve automation potential o Processes that are not suitable, or would not lend any return on investment  Ensures the designs are documented within the defined project timelines, and with  quality.  Performs Quality Control via reviews of the design created by other business analysts.Responsible for receiving the sign-off on the design from the customer, and place  the design under configuration control.  Serves as the functional expert for the development and test teams.  Resolve queries/issues from the development and test teams.  Validate implemented robotics to ensure that it meets the goals and objectives as  defined in the design."
11,Multimedia Designer - Australia/Canada,A V Immigration And Careers Consultancy Private Limited,5-10 years,Not Specified,"task includes design graphics and animations for websites, trade shows and marketing promotions. recommend design techniques to improve look and feel of the graphics. modify and improvise graphics to optimize load time, structure and layout. identify and troubleshoot design related problems in a timely fashion. edit video and audio to support multimedia programs. conduct quality checks before submitting any work or project. coordinate with other staffs to deliver high quality product. stay updated on latest industry trends on graphic design and development techniques. evaluate design concepts and recommend improvements. perform graphic designs using corporate standard software."
12,Fresher Android Apps Developer Android Mobile App Programming Freshers Jobs,DRPU Software Pvt. Ltd.,0-2 years,220000 - 660000 INR,"Great Opportunity for Fresher Android Developers looking for Company Jobs. Currently we are looking for Freshers for Development on Android Studio SDK Android Mobile Apps Programming. Candidates will be responsible for Android Phone application Developer Profile and other related Mobile application development. Mobile Phone Apps Programmers interested in working on JAVA Programming for Google Play Store mobile Apps development should opt for this opportunity.we are looking for Android Developers Android Studio SDK Android Programmers for Mobile Phone Apps Programming.Candidates should be capable to Design and build applications for the Android platform. Candidates should be capable for independent development, developing Android applications for mobile / tablet devices."
13,Adobe Photoshop Graphic Designer Graphics Designing Jobs for Freshers,DRPU Software Pvt. Ltd.,0-1 years,260000 - 670000 INR,"Fresher Graphic Designer Adobe Photoshop Graphics Designing Freshers Job Delhi NCRWe are also Hiring Freshers for this Profile! DRPU Software Pvt. Ltd. is looking for creative graphic designers having good knowledge of adobe Photoshop. Candidate responsibilities may include:Designing Graphics for Websites and web portalsDesigning Apps GUI and icons etcDesigning Banners Promos and Ads etc for Social Media, Print Media and website.- Proficient in Computer Graphic Software like : Adobe Photoshop, Adobe Illustrator, Adobe InDesign- Immediate Joiners will be preferred.Job Responsibilities :  Creative Logos Banners for Websites & Social Medias Flex Banners Flyer Design Brochure & Pamphlet DesignCreate Stylish and suitable images according to the instructions GivenShould have a strong sense of design, color, and proportioning, these creative individuals design backgrounds for characters and objects to live in and move through in a natural mannerGood Coloring Knowledge and very good understanding of Color theory and usage of colors.Key Skills:Good Artistic SkillsAdobe IllustratorAdobe PhotoshopProficient in Photoshop, Adobe Illustrator and Corel Draw. Expert in editing photos using PhotoshopWe are Looking for creative Graphic Designers having good knowledge of Adobe Photoshop Designing for Websites & web portals, Designing Apps GUI & icons etc, Designing Banners Promos & Ads etc for Social Media, Print Media & website.Generate designs for new original content, promotions, and support for web, mobile, and print including corporate website, landing pages, blogs, emails, collateral, white papers, infographics, advertisements, signage, and more.Concept and design charts, graphs and other visuals and design and produce executive-level PowerPoint presentations.Creative visual designs for a business audience. Take a complicated concept and create a simple, easy to understand and compelling graphic, illustration or infographic.Ability to provide creative direction for videos and photography.Support Popular Domains event strategy with tradeshow booth design, speaker presentations, print and digital signage, handouts, and poster, collateral.Develop and expand the brand awareness of Popular Domains through visual designs and experiences that excite and engage customers, while influencing their attitudes and beliefs regarding our technology.Establish and maintain consistency of design and a high level of quality across all company mediums.Stay on the cutting edge of design trends, tools, and best practices.Excellent digital and graphic designs skills with a strong eye for design trends, the digital design language, photography, typography and overall visual storytelling. Create design solutions in a wide range of graphic applications for collateral materials, infographics, publications, digital slides, event graphics, ads, direct mailers, etc."
14,Vector Illustrator Animator,Raj & Sam Marketing LLP,1-3 years,300000 - 450000 INR,"R&SM is hiring for a vector illustrator animator Here's the job description- The ideal candidate will create animated videos with illustrations - The exact examples are attached(with a Youtube link). As shown in the sample project video, the style of the video is realistic (more sciencey and human body related - These are animated vector illustrations).The candidate will be responsible for brainstorming, creating, and designing short illustration videos from scratch. New multiple projects would be provided on daily basis. The candidate would brainstorm unique ideas with one of our marketers and is free to provide his or her creative ideas regarding the project as well. On some of the working days, the candidate would be free to create his/her own projects using their own creativity & experience.We prioritize creativity and hard work over everything. The candidate must be highly skillful and complete the project within the timeframe provided. The candidate must be fairly proficient (not expert) in English as majorly all projects and their details will be conducted in that language.Find the sample of work attached in a youtube video link. https://youtu.be/I3wN3oGkWg0 As shown in the sample project video, the style of the video is realistic (more sciencey and human body related - These are animated vector illustrations)"
15,Software Test Engineer,Fazo Software,Fresher,Not Specified,"Software Test Engineer - 2010 to 2019 passed out freshers.Location: ChennaiVacancy: 9 Position.Experience: Freshers only.Description:-Working on an eCommerce website.Mobile application Testing & Web Application Testing.Strong Knowledge in writingtest cases.Finding bugs, smoke testing.certification is mandatory if not will be trained.immediate joining.Regards. HR Team. Tamil Selvi - 6374808456 Vinothini - 8072712418  (WhatsApp your resume )"
16,Business Development Executive,Techfruits Solutions Private Limited,0-5 years,330000 - 660000 INR,"We represent the best Hardware & Software companies like Dell - EMC, HP, HPE, PureStorage, IBM, F5, SpectraLogic, Adobe, Commvault, AWS, Microsoft and Many moreTitle / Designation : Business Development ExecutiveLocation : Thiruvananthapuram, KeralaSalary: Open for perfect match candidateCandidate Should have Following skills Oversee the sales process to attract new clients and cold calling  Work with senior team members to identify and manage sales opportunities.  Maintain fruitful relationships with clients and address their needs effectively.  Research and identify new market opportunities. Excellent leadership and communication skills."
17,Freshers B.E BTech BCA MCA MCA Fresher Jobs in Ghaziabad Delhi NCR near Meerut Hapur Noida Modinagar,DRPU Software Pvt. Ltd.,0-1 years,150000 - 660000 INR,"We have multiple Job openings for Freshers for Different profiles. We are looking for Fresher and entry level B.E, B.Tech, BCA MCA & Diploma Fresher / Trainee Software Engineers for Multiple Profiles such as Testing Website Content writing Software Documentation SEO and Website Promotion and many more.Freshers B.E BTech BCA MCA MCA Jobs in Ghaziabad Delhi NCR near Meerut Hapur Noida ModinagarDifferent Job Profiles may include Candidate responsibilities as follows:Software TestingSoftware Help DocumentationWebsite Content writingApps Data compile and procedure designWeb Authoring and Instruction GuidesTechnical WritingSEO and Website PromotionNetworkingComputers & Network Maintenance Content writing"
18,"Urgently Hiring l Data Entry, Work from home  Jobs l Computer Entry Jobs I Opportunity for freshers",Continuum Edtech,0-5 years,120000 - 340000 INR,Details: It is a home-based freelance data entry work.  Laptop/Desktop & Smartphone are required.  Training will be provided by our team  No Target work. Desired skills and qualities:  Fresher and experience both can apply.   Basic Computer Knowledge.  Should able to maintain good typing speed and accuracy level.  Sound knowledge of English language.  Able to data entry using spreadsheet and other computer software.  Attention to detail.  12th pass or any Graduate can apply.Interested candidate send their CV on our official mail ID.If your CV is selected then we will contact you for online interview. There may be Two rounds of Interview.
19,Urgent vacancy for Data Entry Executive I Opportunity for freshers l Work from home,Continuum Edtech,0-5 years,150000 - 350000 INR,Details: It is a home-based freelance data entry work.  Laptop/Desktop & Smartphone are required.  Training will be provided by our team  No Target work. Desired skills and qualities:  Fresher and experience both can apply.   Basic Computer Knowledge.  Should able to maintain good typing speed and accuracy level.  Sound knowledge of English language.  Able to data entry using spreadsheet and other computer software.  Attention to detail.  12th pass or any Graduate can apply.Interested candidate send their CV on our official mail IDIf your CV is selected then we will contact you for online interview. There may be Two rounds of Interview.
20,Data Entry Jobs l Computer Entry Jobs I Opportunity for freshers l Work from home,Continuum Edtech,0-5 years,150000 - 350000 INR,Details: It is a home-based freelance data entry work.  Laptop/Desktop & Smartphone are required.  Training will be provided by our team  No Target work. Desired skills and qualities:  Fresher and experience both can apply.   Basic Computer Knowledge.  Should able to maintain good typing speed and accuracy level.  Sound knowledge of English language.  Able to data entry using spreadsheet and other computer software.  Attention to detail.  12th pass or any Graduate can apply.Interested candidate send their CV on our official mail ID.If your CV is selected then we will contact you for online interview. There may be Two rounds of Interview.
21,Data Entry Jobs l Urgent vacancy I Opportunity for freshers l Work from home,Continuum Edtech,0-5 years,120000 - 360000 INR,Details: It is a home-based freelance data entry work.  Laptop/Desktop & Smartphone are required.  Training will be provided by our team  No Target work. Desired skills and qualities:  Fresher and experience both can apply.   Basic Computer Knowledge.  Should able to maintain good typing speed and accuracy level.  Sound knowledge of English language.  Able to data entry using spreadsheet and other computer software.  Attention to detail.  12th pass or any Graduate can apply.Interested candidate send their CV on our official mail IDIf your CV is selected then we will contact you for online interview. There may be Two rounds of Interview.
22,Data entry Executive l Work from Home l Opportunity for fresher l Home Based work **,Continuum Edtech,0-5 years,130000 - 350000 INR,Details: It is a home-based freelance data entry work.  Laptop/Desktop & Smartphone are required.  Training will be provided by our team  No Target work. Desired skills and qualities: Fresher and experience both can apply.12th pass or any Graduate can apply. Basic Computer Knowledge.Should have good typing speed.Should be able to maintain a fair accuracy level.Sound knowledge of English language.Able to data entry using spreadsheet and other computer software.Attention to detail.Interested candidate send their CV on our official mail ID.If your CV is selected then we will contact you for online interview. There may be Two rounds of Interview.
23,Data Entry Job Vacancy l Urgent Hiring l Home based work**,Continuum Edtech,0-5 years,150000 - 320000 INR,Details: It is a home-based freelance data entry work.  Laptop/Desktop & Smartphone are required.  Training will be provided by our team  No Target work. Desired skills and qualities: Fresher and experience both can apply.12th pass or any Graduate can apply. Basic Computer Knowledge.Should have good typing speed.Should be able to maintain a fair accuracy level.Sound knowledge of English language.Able to data entry using spreadsheet and other computer software.Attention to detail.Interested candidate send their CV on our official mail ID.If your CV is selected then we will contact you for online interview. There may be Two rounds of Interview.
24,Urgent recruitment for Ground Staff and Air Ticketing profile,Company Name Confidential,0-4 years,430000 - 730000 INR,"Job Description,Ground Staff Job Description:: Airport Ground Staff must have the ability to handle the situation in every condition along with diplomatic Abilities, the flexibility of attitude, great communication, and organizing skills which are the most essential qualities needed for Airport Ground Staff as they spend much of their time in interacting with air passengers. Knowledge of more than one domestic and foreign languages can prove an added asset for an Airport Ground Staff as he has to meet people from different regions knowing different Languages. Airport Ground Staff must possess a calm and friendly personality, ability to handle people and their belonging to pressure conditions. Above all Airport Ground Staff must possess good health, energy, and stamina for working long and irregular hours as they are responsible for every little work of the passenger once they are landed. Age- 18 to 45 Qualification- 12th any stream followed by Diploma,Graduate or PG Diploma course. Cabin Crew Job Description You will need excellent communication skills in order to understand and see to your customers needs, especially in the case of an emergency. Cabin crew need to be dedicated to excellent customer service as their main role is to provide a comfortable and safe experience for their passengers. Cabin crew members need to work together as a team to make sure that all passengers are looked after and comfortable. Numeracy skills are useful for handling money. In the case of an emergency, it is essential that cabin crew have the ability to remain calm. The ability to deal with a range of people in a polite but firm way is important in such a confined working environment. Age- 18 to 45 Air-Ticketing job Duties Ticket agents greet airline customers, help check baggage, and assign seats on the aircraft. This role involves a large amount of customer service as well as lifting larger bags onto the belt behind the counter. These airline representatives are responsible for handling ticket reservations, cancellations, alterations, and informing customers when a flight has been delayed or cancelled .Even under stressful conditions, a ticket agent is expected to maintain a well groomed appearance and a polite manner. The type of uniform is usually dependent on the airline. The ticket agent is also expected to be able to stand up for hours at a time and frequently lift between 50 and 100 pounds of luggage. Job Qualifications A high school diploma is necessary to get a job as a ticket agent, though a two year college degree is generally preferred. Basic computer skills and experience in customer service are usually necessary and some airlines may require experience with a foreign language. Most airlines have a minimum age requirement of 18 to 45 years old. Schedule flexibility is helpful, and overtime and holiday work is typical. Drug tests are usually mandatory prior to employment and a background check by the FAA is also likely. Age- 18 to 45 Best Regards, (HR Team)"
25,Ground staff//Back office//Freshers//Admin//Front office,Company Name Confidential,0-4 years,430000 - 730000 INR,"Job Description,Ground Staff Job Description:: Airport Ground Staff must have the ability to handle the situation in every condition along with diplomatic Abilities, the flexibility of attitude, great communication, and organizing skills which are the most essential qualities needed for Airport Ground Staff as they spend much of their time in interacting with air passengers. Knowledge of more than one domestic and foreign languages can prove an added asset for an Airport Ground Staff as he has to meet people from different regions knowing different Languages. Airport Ground Staff must possess a calm and friendly personality, ability to handle people and their belonging to pressure conditions. Above all Airport Ground Staff must possess good health, energy, and stamina for working long and irregular hours as they are responsible for every little work of the passenger once they are landed. Age- 18 to 45 Qualification- 12th any stream followed by Diploma,Graduate or PG Diploma course. Cabin Crew Job Description You will need excellent communication skills in order to understand and see to your customers needs, especially in the case of an emergency. Cabin crew need to be dedicated to excellent customer service as their main role is to provide a comfortable and safe experience for their passengers. Cabin crew members need to work together as a team to make sure that all passengers are looked after and comfortable. Numeracy skills are useful for handling money. In the case of an emergency, it is essential that cabin crew have the ability to remain calm. The ability to deal with a range of people in a polite but firm way is important in such a confined working environment. Age- 18 to 45 Air-Ticketing job Duties Ticket agents greet airline customers, help check baggage, and assign seats on the aircraft. This role involves a large amount of customer service as well as lifting larger bags onto the belt behind the counter. These airline representatives are responsible for handling ticket reservations, cancellations, alterations, and informing customers when a flight has been delayed or cancelled .Even under stressful conditions, a ticket agent is expected to maintain a well groomed appearance and a polite manner. The type of uniform is usually dependent on the airline. The ticket agent is also expected to be able to stand up for hours at a time and frequently lift between 50 and 100 pounds of luggage. Job Qualifications A high school diploma is necessary to get a job as a ticket agent, though a two year college degree is generally preferred. Basic computer skills and experience in customer service are usually necessary and some airlines may require experience with a foreign language. Most airlines have a minimum age requirement of 18 to 45 years old. Schedule flexibility is helpful, and overtime and holiday work is typical. Drug tests are usually mandatory prior to employment and a background check by the FAA is also likely. Age- 18 to 45 Best Regards, (HR Team)"
26,Data Entry Executive I Opportunity for freshers l Work from home ll P ll,The Sprawl,0-5 years,120000 - 360000 INR,"Details:It is a home-based freelance data entry work.	Laptop/Desktop & Smartphone are required. 	Training will be provided by our team 	No Target work.Desired skills and qualities: Fresher and experience both can apply. 	Basic Computer Knowledge. 	Should able to maintain good typing speed and accuracy level. 	Sound knowledge of English language. 	Able to data entry using spreadsheet and other computer software. 	Attention to detail. 	12th pass or any Graduate can apply.Interested candidate may send their CV on our official mail IDIf your CV is selected then we will contact you for online interview."
27,Data Entry Executive l Home Based Work  I Opportunity for freshers l Work from home ll P ll,The Sprawl,0-5 years,120000 - 360000 INR,"Details:It is a home-based freelance data entry work.	Laptop/Desktop & Smartphone are required. 	Training will be provided by our team 	No Target work.Desired skills and qualities: Fresher and experience both can apply. 	Basic Computer Knowledge. 	Should able to maintain good typing speed and accuracy level. 	Sound knowledge of English language. 	Able to data entry using spreadsheet and other computer software. 	Attention to detail. 	12th pass or any Graduate can apply.Interested candidate may send their CV on our official mail ID.If your CV is selected then we will contact you for online interview."
28,Data Entry Operator l Work from Home l Part time Jobs ll N ll,The Sprawl,0-5 years,120000 - 360000 INR,"It is a home-based freelance data entry work. 	Laptop/Desktop & Smartphone are required. 	Training will be provided by our team 	No Target work.Candidates are required to possess the following qualities: 	Basic Computer Knowledge. 	Should able to maintain good typing speed and accuracy level. 	Sound knowledge of English language. 	Able to data entry using spreadsheet and other computer software. 	Attention to detail. 	12th pass or any Graduate can apply. 	Fresher and experience both can apply. Interested candidate may send their CV on our official mail IDIf your CV is selected then we will contact you for online interview."
29,Data Entry Executive l Computer entry operator  I Opportunity for freshers l Work from home ll P ll,The Sprawl,0-5 years,120000 - 360000 INR,"Details:It is a home-based freelance data entry work.	Laptop/Desktop & Smartphone are required. 	Training will be provided by our team 	No Target work.Desired skills and qualities: Fresher and experience both can apply. 	Basic Computer Knowledge. 	Should able to maintain good typing speed and accuracy level. 	Sound knowledge of English language. 	Able to data entry using spreadsheet and other computer software. 	Attention to detail. 	12th pass or any Graduate can apply.Interested candidate may send their CV on our official mail IDIf your CV is selected then we will contact you for online interview."
30,Data Entry Operator l Work from Home Data Entry Jobs l Part time Jobs ll N ll,The Sprawl,0-5 years,120000 - 370000 INR,"It is a home-based freelance data entry work. 	Laptop/Desktop & Smartphone are required. 	Training will be provided by our team 	No Target work.Desired skills and qualities: 	Basic Computer Knowledge. 	Should able to maintain good typing speed and accuracy level. 	Sound knowledge of English language. 	Able to data entry using spreadsheet and other computer software. 	Attention to detail. 	12th pass or any Graduate can apply. 	Fresher and experience both can apply. Interested candidate may send their CV on our official mail IDIf your CV is selected then we will contact you for online interview."
31,Data Entry Executive l Computer entry operator  I Opportunity for freshers l Work from home ll P ll,The Sprawl,0-5 years,120000 - 360000 INR,"Details:It is a home-based freelance data entry work.	Laptop/Desktop & Smartphone are required. 	Training will be provided by our team 	No Target work.Desired skills and qualities: Fresher and experience both can apply. 	Basic Computer Knowledge. 	Should able to maintain good typing speed and accuracy level. 	Sound knowledge of English language. 	Able to data entry using spreadsheet and other computer software. 	Attention to detail. 	12th pass or any Graduate can apply.Interested candidate may send their CV on our official mail IDIf your CV is selected then we will contact you for online interview."
32,Data Entry Operator l Computer Entry Jobs l Work from home Jobs l**,Continuum Edtech,0-5 years,100000 - 240000 INR,Details: It is a home-based freelance data entry work.  Laptop/Desktop & Smartphone are required.  Training will be provided by our team  No Target work. Desired skills and qualities: Fresher and experience both can apply.Basic Computer Knowledge.Should have good typing speed.Should be able to maintain a fair accuracy level.Sound knowledge of English language.Able to data entry using spreadsheet and other computer software.Attention to detail.12th pass or any Graduate can apply.Interested candidate send their CV on our official mail ID.If your CV is selected then we will contact you for online interview. There may be Two rounds of Interview.
33,Urgent Hiring for Work from Home Data Entry Jobs Opportunity for fresher**,Continuum Edtech,0-5 years,120000 - 360000 INR,Details: It is a home-based freelance data entry work.  Laptop/Desktop & Smartphone are required.  Training will be provided by our team  No Target work. Desired skills and qualities: Fresher and experience both can apply.12th pass or any Graduate can apply. Basic Computer Knowledge.Should have good typing speed.Should be able to maintain a fair accuracy level.Sound knowledge of English language.Able to data entry using spreadsheet and other computer software.Attention to detail.Interested candidate send their CV on our official mail ID.If your CV is selected then we will contact you for online interview. There may be Two rounds of Interview.
