SN,Title,Company,Experience,Salary,Description
14,Marketing Cloud,Tata Group,2-5 years,Not Specified,"TechnicalSkills: Experiencewith Email Studio, Journey Builder, MobileStudio, Automation Studio, MarketingCloud data models (including Contact Model, Data Views and Data Extensions),AMPscript and SSJS scripting languages, Guide Template Language (GTL),Marketing Cloud SOAP and REST APIs, SQL, Javascript, React, HTML, and CSSKeyResponsibilities: Develop software solutions by studying information needs conferring with users studying systems flow, data usage and work processes investigating problem areas following the software development lifecycle Front-end HTML, JavaScript and CSS coding to support Cloud Pages Work with the Customer Analytics and Marketing Personalisation teams with architecting Cloud Pages and emails AMPscript to support complex dynamic emails Document and demonstrate solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code Work with team members to design innovative software programs that improve and simplify the websites, e-commerce platforms and several internal services for our customers across various products and brands. Perform intensive testing of all new and existing programs to ensure they are free of errors and function as intended Participate in agile delivery activities such as design, estimating, retrospectives and continuous improvement Use Contact Builder & data relationships to organize data Create SQL-based query activities for audience segmentation, reporting and data extracts Work as part of a Scrum/Agile team providing a regular release cycle (including development and test) Working with the Customer Analytics and Personalisation Marketing teams to develop and enhance the user preference centre within Marketing Cloud MustHave:2+ years as a Salesforce Marketing Cloud DeveloperTechnical experience with Email Studio, Journey Builder, MobileStudio, Automation StudioExperience in AMPscript and SSJS scripting languages, Guide Template Language (GTL), Javascript, React, HTML, and CSSTechnical proficiency and development/engineering experience with Salesforce Marketing Cloud - with specific experience inContact Builder relational data model configuration. Experience in Contact Model, Data Views and Data ExtensionsSQL-based query activities for audience segme ntation, reporting and data extractsDesigning and creating automations via Automation StudioContent Builder dynamic email creationREST support for leveraging Marketing Cloud web service to transfer data into journeys and data extensions. Marketing Cloud SOAP and REST APIs.Build triggered sends, journeys, and automationsLanding page and web form creation via Cloud PagesSMS Text campaigns via MobileConnect in Mobile StudioExperience in working independently and taking direction from other senior engineersMust possess strong analytical, organizational and product management skills.Good to have:Bachelor degree in Computer Science Excellent knowledge of system development lifecycle methodologies and working knowledge in Agile delivery, practices and SCRUM methodology.Highly skilled in analysis, problem solving, troubleshooting, debugging and performance tuning.Strong verbal and written communication skills with customer facing role.Experience using JIRA and Confluence.Experience in leading a team with Offshore-Onshore delivery model."
15,Manager Marketing,Reliance Jio Infocomm Limited,12-15 years,Not Specified,"Job Description : Job Responsibilities : Responsible for expanding product solutions and offerings.Analyze market trends and recommend changes to marketing andbusiness development strategies based on analysis and feedback  Skills & Competencies : Data Mining, Data Analytics"
16,Digital Marketing,Trues steels private Limited,1-2 years,120000 - 210000 INR,Daily Customer query handling on daily basis through India martSending quotes to customer coordination with costing dept. and for responding to customer   social media promotion SEO
17,Executive - Visitor Centre,Sri Balajee HR Consultancy,1-5 years,Not Specified,RetailTo push sales of liquor and merchandise to the visitors at the centreTo verify the products regularlyPhysically inspecting the stock at the gift shop and stores.Maintaining billing software and other reports.· Knowledge on tally.
18,REGIONAL MARKETING MANAGER,Muthoot finance,5-6 years,Not Specified,"Job Description : Regional Marketing ActivityResponsible for % increase in business through marketing activities planned & executed for the branches of various categories in the region- NCACost per lead: (Total expenditure on marketing/ Number of new customer leads sourced through marketing activities) maintained throughout the year.Innovative marketing Ideas initiated as per regions/local requirement. Branch Visibility ManagementDevelop benchmark and monitor for In- Branch Visiblity and remove all Old communications which is not relevant at the branch : Product display, In-Branch Branding, Standee, Arch , Banners and Glow signs up keeping liaising through Admin. New Branch SupportPrepare on-ground marketing calendar for the Branch to create awerness and increase in Walk-ins, % of New loans from new customers (at the branch) through marketing initiatives.Evaluate and recommend branch visiblity through Pathfinder, Wall Painting, local branch level activity etc.. Weak Branch SupportIdentify the branch based on the date of launch against the Business growth in terms loan dispersed i.e. Above 2 years branch 8 Cr of business to happen.Create Visiblity and awareness for the branch through Marketing initiatives.. B2C ManagementPrepare on-ground event calendar for the RegionEvaluate and recommend productive , Van Marketing, Melas, Consumer promotion etc.Responsible for driving promotion activities in branch catchment areas.Business Index: (Total new customer business through marketing activities/ Total expenditure on marketing). MIS ManagementMonitor and report Daily activityAnalyze and report effectiveness of POSM usage in Branch & Van Marketing and Consumer promotion Activity & Melas etcProductivity and cost effective analysisBranch Visit Report"
19,JUNIOR RELATIONSHIP EXECUTIVE - TIRUNELVELI - TENKASI - TUTICORIN - RAJAPALAYAM,Muthoot finance,1-10 years,Not Specified,"Job Description :Dear Candidates ,Please read the job description before apply for the positionDegree : Any UG (Arrears candidate are not eligible )Exp : 1 - 10 YearWork location : Tirunelveli, Tuticorin, Tenkasi, RajapalayamAge : Below 30Salary : As good from industrySkills :1. Good communication2. Gold Loan - Sales/Marketing3. Computer knowledge4. Commercial awareness5. Sales/ Marketing6. Insurance product sales7. Money Transfer/Forex8. Gold Coin Sales/Marketing9. CollectionsPlease contact - 9629480864Mail : [Confidential Information]"
20,Intern - Retail Marketing,Harman Connected Services Corporation India Private Limited,Not Specified,Not Specified,job description is not available for this job
21,Telecommunications Manager required in CANADA & AUSTRALIA,Nobreza Consulting Private Limited,3-8 years,4029999 - 5670000 INR,"Maintaining records on installation, repair, and equipment replacements. Identifying telecommunication needs. Researching developments in telecommunication technology. Consulting vendors and sales departments on new products and upgrades. Developing telecommunication policies. Installing telecommunication systems"
22,Senior Analyst-Digital Marketing (Content Management),Accenture,5-8 years,Not Specified,job description is not available for this job
23,Marketing Specialist,Accenture,6-9 years,Not Specified,job description is not available for this job
24,Marketing Manager,Accenture,10-13 years,Not Specified,job description is not available for this job
25,Associate-Digital Marketing,Accenture,1-3 years,Not Specified,job description is not available for this job
26,Analyst-Digital Marketing,Accenture,3-5 years,Not Specified,job description is not available for this job
27,Digital Marketing,Trues steels private Limited,1-2 years,120000 - 210000 INR,Daily Customer query handling on daily basis through India martSending quotes to customer coordination with costing dept. and for responding to customer   social media promotion SEO
28,Digital Marketing,Cygnus Staffing Solutions,3-8 years,Not Specified,"Client of Cygnus Staffing Solutions, a leading Australian Education & Immigration Company, looking forDigital Marketing ExecutiveKey Responsibilities: Build, plan and implement the overall digital marketing activityResponsible for brand promotion and lead generation through Digital Marketing Activities.Managed weekly basic Google AdWords & Social media campaigns Closely worked with internal sales team in closing the leads generated through digital marketing activities.Preparing daily basic work reports and attending weekly basis status calls with clients and internal managing team.Performed on-page and off-page activities for clients & in-house Managed and improved website content, considering SEO and Google Analyticspreparing strategy for inbound marketing plan.Designed flyers and posted in Social Media channels like Facebook, LinkedIn & Twitter,Generate qualified leads.Prepared daily basic work reports and attended weekly basis status calls with clients and internal managing team. Improved website content, considering SEO and Google Analytics Prepared strategies for inbound marketing plan.Closely worked with CXO team.Good command on Digital Marketing tools like MOZ, SEMrush, Hub spot & AHREF.Experienced in Paid Advertising like Google AdWords, Bing, & YouTube promotions (Search, Display and Video Ads)Extensive experience in reporting platforms such as Google Analytics, Search Console and Hub Spot.Creative in Budget Planning and Bidding System for Paid Campaigns (AdWords & Social Media).Good experience in Customers Data Profiling & Building.Good experience in Content Management & Blog Articles writing skills in different CMS environments.Good experience in Email Marketing Campaigns (Tools like Mail chimp, Get Response& Others).Qualifications: Any Graduate / Post Graduate Experience : 3 to 8 yrs. Good Comm & Presentation Skills. Salary : Negotiable Job Location : Hitech City, Phase 2, Madhapur, Hyderabad. Contact Immediately: Cygnus Staffing Solutions email: cygnusresumes(AT)gmail.com (AT) = @ Phone : 9848912988 www.cygnusstaffingsolutions.com"
29,Marketing Senior Analyst,Accenture,3-4 years,Not Specified,job description is not available for this job
30,Senior Analyst-Digital Marketing,Accenture,5-8 years,Not Specified,job description is not available for this job
31,Senior Analyst-Digital Marketing,Accenture,5-8 years,Not Specified,job description is not available for this job
32,New Associate-Digital Marketing,Accenture,0-1 years,Not Specified,job description is not available for this job
33,Associate-Digital Marketing,Accenture,1-3 years,Not Specified,job description is not available for this job
34,Marketing Cloud,TATA Consultancy Services Ltd.,3-13 years,Not Specified,job description is not available for this job
