SN,Title,Company,Experience,Salary,Description
10,Professor Required In Canada | Singapore,Adal Immigrations LLP,2-10 years,4000000 - 5000000 INR,"Call & WhatsApp to Ms.Akansha-+91-9311380077Developing curricula and delivering course material.Conducting research, fieldwork, and investigations, and writing up reports.Publishing research, attending conferences, delivering presentations, and networking with others in the field.Traveling to other universities or academic settings to participate in learning opportunities and gain experience.Participating in committee, departmental, and faculty meetings.Providing training and mentoring to teaching assistants and junior lecturers.Reviewing methods and teaching materials and making recommendations for improvement.Assisting with student recruitment, interviews, and academic counseling sessions.Contributing to the creation of an environment that promotes growth, equality, and freedom of speech."
11,Faculty Required In Canada | Singapore,Adal Immigrations LLP,3-12 years,5000000 - 7000000 INR,"Call & WhatsApp to Ms.Akansha-+91-9311380077We believe in providing the best possible facilities to our students. Guide, direct and mentor research scholars in their research projects. Development, administration and management at Institutional levels. Research development activities and Research guidance. Monitoring and evaluation of academic and research activities."
12,Hindi Teacher,Sathguru,0-3 years,Not Specified,"Isha's various educational initiatives work towards the wholesome development of the child and the inculcation of life skills. Isha Home School is located amidst the tranquil surroundings of the Velliangiri Mountains near Coimbatore, Tamil Nadu. Founded in 2005 by Sadhguru, the school strives to incorporate his educational approach into its day-to-day teaching process.  The school's greatest asset is its dedicated and talented faculty, who continuously challenge themselves and the students to participate entirely in the symbiotic learning process.  Isha Home School offers a stimulating environment for the child's inner blossoming, resulting in the well-rounded development of every individual while maintaining high standards of academic excellence. Purpose of the JobTeach Hindi for students in all grade level. Be creative in teaching methodology and evaluate student's progress using various waysJob ResponsibilitiesTo teach hindiRequired Competencies Educational Qualification : Graduate Skill Competencies : Teaching Hindi, good class management Gender : AnyWhat do we look for in our candidates  Entrepeneural Spirit and an egoless nature.  Proven work ethic with utmost integrity and desire to excel and succeed.  Self motivated, passionate, empathetic and approachable.  You love to have fun, but you also take your responsibilities seriously."
13,"Professor, Associate Professor & Assistant Professor - CSE Department",PURPLE SQUIRREL EDUVENTURES PRIVATE LIMITED,0-5 years,Not Specified,"The responsibilities include teaching a requisite number of classes, providing guidance and supervision to graduate students, and providing academic support to professors & other faculty members Required candidate profile Designation: Professor, Associate Professor & Assistant ProfessorQualification : BE(CSE), M. Tech (CSE)/ Ph.D. (CSE)  Experience: 0 to 5 Yrs. & Ph. D. is compulsory for Professor & Associate Professor's post. Industry associates with M. Tech. & 8 plus years of experience may also apply."
14,Head of Finance,Standard Chartered,Not Specified,Not Specified,"About Standard CharteredWe're an international bank, nimble enough to act, big enough for impact. For more than 160 years, we've worked to make a positive difference for our clients, communities, and each other. We question the status quo, love a challenge and enjoy finding new opportunities to grow and do better than before. If you're looking for a career with purpose and you want to work for a bank making a difference, we want to hear from you. You can count on us to celebrate your unique talents. And we can't wait to see the talents you can bring us.Our purpose, to drive commerce and prosperity through our unique diversity, together with our brand promise, to be here for good are achieved by how we each live our valued behaviours. When you work with us, you'll see how we value difference and advocate inclusion. Together we:Do the right thing and are assertive, challenge one another, and live with integrity, while putting the client at the heart of what we doNever settle, continuously striving to improve and innovate, keeping things simple and learning from doing well, and not so wellBe better together, we can be ourselves, be inclusive, see more good in others, and work collectively to build for the long termIn line with our Fair Pay Charter, we offer a competitive salary and benefits to support your mental, physical, financial and social wellbeing.Core bank funding for retirement savings, medical and life insurance, with flexible and voluntary benefits available in some locationsTime-off including annual, parental/maternity (20 weeks), sabbatical (12 weeks maximum) and volunteering leave (3 days), along with with minimum global standards for annual and public holiday, which is combined to 30 days minimumFlexible working options based around home and office locations, with flexible working patternsProactive wellbeing support through Unmind, a market-leading digital wellbeing platform, development courses for resilience and other human skills,global Employee Assistance Programme, sick leave, mental health first-aiders and all sorts of self-help toolkitsA continuous learning culture to support your growth, with opportunities to reskill and upskill and access to physical, virtual and digital learningBeing part of an inclusive and values driven organisation, one that embraces and celebrates our unique diversity, across our teams, business functions and geographies - everyone feels respected and can realise their full potential.Recruitment assessments - some of our roles use assessments to help us understand how suitable you are for the role you've applied to. If you are invited to take an assessment, this is great news. It means your application has progressed to an important stage of our recruitment process.Role ResponsibilitiesStrategyTo deliver the SC CAPITAL Strategic priorities as agreed with the Group MT by rolling out and building the Retail Business in SC CAPITAL grounds upBusinessResponsible for SC CAPITAL&rsquos financial reporting for local, Group and management books, allocating and tracking efficient capital allocation, ensure efficient and effective cost management, support the CEO and CFO with cost management on the strategic projects, ensure accurate Statutory, Financial and Management accounting, ensure adequate compliance with corporate governance policies and all regulations applicable to NBFCs  for local as well as group reportingProcessesEnsure SC CAPITAL's accounts are accurate and meet regulatory and legal requirements including regulatory reporting and group reporting. Issue annual and quarterly financial reports for SC CAPITALEnsure strong compliance disciplines are in place across finance functionsManage financial performance MIS to support performance culture  both for Statutory and Management books.Allocate and track the performance of strategic project investment fundsConstructively challenge business cases and plans from all other departments whilst identifying obstacles and opportunitiesDefine the accounting standards for SC CAPITAL, in line with local and group regulationsManage costs and budget for the organizationTrain and develop staff in the Finance departmentManage relationships with external auditors, agencies and regulators Supporting SC CAPITAL Senior management stakeholders in business decisions to drive business deliverablesIntroducing and implementing best practices, increasing quality of support servicesEnsuring effective and efficient processing within TAT as per service expectationsInteracting closely with Credit/Sales/IT/Product and other stakeholders and aligning deliveries Working closely with technology team to drive efficiency and building consistency in processesReviewing and approving additional processes and any deviations, managing process documentationPeople and Talent Be the SPOC for the CEO and CFO and be able to provide analytical reasoning and in-depth variance analysis for the delta or movements in Business performance seamlessly and on an end to end basis.Lead the 2 to 3 member finance team in SC CAPITAL Leverage GFS supports for all production and BAU activity-based support, including basic variance analysis. Continuously impart the necessary training or guidance to them to come up the learning curve to enhance and improve the offshore support that they extend in all production and analytical activityRisk ManagementTo implement appropriate internal controls and operating risk management/monitoring processes and procedures within the unit for ensuring integrity of Performance and Expense reporting and compliance with related group policies/standardsGovernance Be responsible owner and ensure compliances for all deliverables pertaining to the Finance Function within SC CAPITAL be in Management, Financial, Statutory or Regulatory reporting, Financial Controls, Budgeting, Strategy execution, Cost management, Project Management, etc. Regulatory & Business Conduct Display exemplary conduct and live by the Group&rsquos Values and Code of Conduct. Take personal responsibility for embedding the highest standards of ethics, including regulatory and business conduct, across Standard Chartered Bank. This includes understanding and ensuring compliance with, in letter and spirit, all applicable laws, regulations, guidelines and the Group Code of Conduct.Lead the Finance team] to achieve the outcomes set out in the Bank&rsquos Conduct Principles: [Fair Outcomes for Clients Effective Financial Markets Financial Crime ComplianceThe Right Environment.] .Effectively and collaboratively identify, escalate, mitigate and resolve risk, conduct and compliance matters.RBI, Companies Act, SEBI, PRA, etc. Exercise authorities delegated by the Board of Directors and act in accordance with Articles of Association As delegated from time to time Key StakeholdersInternalMD and CEOChief Financial OfficerSC CAPITAL BoardCPBB Business TeamsOther relevant Business and Functional teams ExternalAuditorsRegulatorsVendors and other ConsultantsOur Ideal CandidateQualified CA or MBA FinanceMinimum of 10-12 years experience and deep understanding of financial services across SC CAPITALs and NBFCs is critical for this roleVisit our careers website"
15,Associate Professor Jobs - Canada / Australia / UK / UAE / Germany,Enhances Visa Immigration Private Limited,2-7 years,3000000 - 5000000 INR,CALL & WHAT'S APP TO MS. Ankita-+91- 8178529686Preparing lessons as per the university curriculum. Researching on new topics in the syllabus. Developing teaching content as per the requirements. Explaining and teaching student's various concepts and theories as per your expertise. Attending departmental and faculty meetings. Lecturing students related to areas of expertise. Selecting students for the graduation program. Organizing seminars and events for the students. Visiting other colleges and universities as an external resource person. Suggesting improvements in the teaching methods and techniques. Paying extra attention to the struggling students. Offering academic support to the Assistant Professor as well as Professor. Overseeing and accessing students project work. Maintaining a fun environment and engaging students. Staying abreast of the latest finding in the area of your expertise. Adhering to rules and regulations of the school board/ university.
16,Librarian Required In Canada | Hong Kong,Cloud Visa Immigration LLP,3-10 years,5000000 - 7000000 INR,"Call & Whats App To Ms.Sneha (HR )-9311529770Assist patrons with finding reference materials and leisure reading materials when asked Maintain library inventory and conduct periodic audits of the information on file Help patrons navigate the electronic records and periodicals Read stories to groups of children three mornings per week and conduct play time afterward Create and implement new programs to attract patrons of different demographics, such as socials and author signings Check books and other materials in and out of the library Teach patrons how to use the electronic database and its functions Plan and host book sales on a monthly basis Manage the acquisitions of new materials"
17,English Professor Required In Canada | Hong Kong,Cloud Visa Immigration LLP,3-10 years,5000000 - 7000000 INR,"Call & WhatsApp to Ms.Sneha (HR)-9311529770 Teach courses commensurate to established syllabi. Advise and register assigned students as role of English professor. Participate in retention, placement and cooperative educational activities of students. Prepare and maintain current course syllabi, course outlines and classroom expectations for each course taught. Examine and recommend adequate instructional materials for courses taught. Involve in departmental budget and objectives development. Provide assistance in communication between College and community. Participate in formulation, interpretation and application of division policies and procedures. Participate in course schedules development and coordination. Provide assistance in English student recruitment. Update and maintain accurate academic records. Involve in assigned college committees and professional development activities."
18,University Professor/Associate Professor  required in CANADA & AUSTRALIA,Nobreza Consulting Private Limited,4-9 years,5210000 - 7109999 INR,"Developing curricula and delivering course material. Conducting research, fieldwork, and investigations, and writing up reports. Publishing research, attending conferences, delivering presentations, and networking with others in the field. Traveling to other universities or academic settings to participate in learning opportunities and gain experience. Participating in committee, departmental, and faculty meetings. Providing training and mentoring to teaching assistants and junior lecturers. Reviewing methods and teaching materials and making recommendations for improvement. Assisting with student recruitment, interviews, and academic counseling sessions. Contributing to the creation of an environment that promotes growth, equality, and freedom of speech."
19,Data Science Consultant,Blue Yonder,5-10 years,Not Specified,"Blue Yonder Title:Data Science Consultant (Luminate Planning Deploy & Operate)Other Comparable titles:Data Scientist, Data Science Engineer,Overview:Leading AI-driven Global Supply Chain Solutions Software Product Company and one of Glassdoor's Best Places to WorkSeeking an astute individual who has a strong statistical/analytical foundation with the additional ability to be hands-on with the broader team as part of the deploy/operate cycle. Knowledge of industry best practices, with the ability to implement them would be a bonus.Scope:Core responsibilities to include participation in onboarding of clients with Blue Yonder's Luminate Planning suite of solutions and their continued support during the BAU phase.The team currently comprises of 30 associates in India, part of a larger global team spread across US, Germany and is expected to grow rapidly. The incumbent will need to have leadership qualities to also mentor junior and mid-level associates in our teamWhat you'll do:Selecting features, building and optimizing classifiers using machine learning techniquesData mining using state-of-the-art methods & toolsExtending company's data with third party sources of information when neededEnhancing data collection procedures to include information that is relevant for building analytic systemsProcessing, cleansing, and verifying the integrity of data used for analysisPerforming ad-hoc analysis and presenting results in a clear mannerWhat we are looking for: Excellent understanding of machine learning techniques and algorithms, such as K means clustering, Naive Bayes etcExperience with common data science toolkits, such as Python, R, Weka, NumPy, MatLab, etc. Excellence in at least one of these is requiredExperience in Supply Chain conceptsExperience in Statistical Analysis, Operations Research concepts - Integer/Linear/Stochastic programmingExperience with data visualization tools, such as D3.jsProficiency in using query languages such as SQL, Hive, PigExperience with NoSQL databases, such as MongoDB, CassandraGood applied statistics skills, such as distributions, statistical testing, regression, etc.Good scripting and programming skillsData-oriented personalityBachelors or Masters in Computer Science w/Data Science specialtyExperience preferred: 5-10 yrsOur ValuesIf you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success - and the success of our customers. Does your heart beat like ours Find out here:  is our strategy for fostering an inclusive environment we can be proud of. Check out Blue Yonder's inaugural which outlines our commitment to change, and our celebrating the differences in all of us in the words of some of our associates from around the world.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status."
20,Faculty Required In Canada | Australia,Adal Immigrations LLP,2-7 years,5000000 - 7000000 INR,"Call & WhatsApp to Ms.Akansha-+91-9311380077We believe in providing the best possible facilities to our students. Guide, direct and mentor research scholars in their research projects. Development, administration and management at Institutional levels. Research development activities and Research guidance. Monitoring and evaluation of academic and research activities."
21,Prof/ Assistant Professor Lecturers Are Required For Abroad,I2canz Outsourcing Private Limited,2-8 years,4530000 - 6020000 INR,"This group performs some or all of the following duties: Teach one or more university subjects to undergraduate and graduate students Prepare and deliver lectures to students and conduct laboratory sessions or discussion groups Prepare, administer and grade examinations, laboratory assignments and reports Advise students on course and academic matters and career decisions Direct research programs of graduate students and advise on research matters Conduct research in field of specialization and publish findings in scholarly journals or books May serve on faculty committees dealing with such matters as curriculum planning and degree requirements, and perform a variety of administrative duties May represent their universities as speakers and guest lecturers May provide professional consultative services to government, industry and private individuals."
22,Hiring for a role of Teacher Success Manager (Technical Trainer) for an EduTech Industry,E-Hireo Global Solutions Private Limited,4-13 years,700000 - 2200000 INR,"Job Profile:  As the Teacher Success Manager (Curriculum Subject Matter Expert), you must create effective training methodology, evaluate performance metrics of training and ensure the plans meet business objectives.  You will work with the Curriculum Design Team and create learning resources for Teachers to ensure they effectively deliver the curriculum. These learning resources will include Videos, a repository of Frequently Asked Questions/Answers as well as other Supporting Documents.  You will conduct regular Train the Trainer workshops for the Top Teachers on the Platform to clarify their doubts so that they can effectively train other teachers on the Platform  You ensure immediate assistance to the Teachers when they have any curriculum-related queries or doubts. You will also do a Root Cause Analysis of the most frequently occurring queries and ensure structural solves in terms of learning resources and training workshops  As a Subject Matter expert, you suggest changes to the Curriculum Design Team in the Curriculum basis Teacher feedback/suggestions as well as ensure that the Curriculum is accurate without any errorsSkill Set :  Good written and verbal communication skills  Systems Thinking: Create strong and box learning resources for the curriculum to build a rocket-ship.  Experience in teaching the Primary/Middle Year Programme in International schools.  IB school preferred Years of Experience: At least 5 years experience in Teaching or Training on Coding."
23,Pre-Primary Teacher,Mount Litera Zee school,1-5 years,200000 - 300000 INR,"Planning, preparing and delivering lessons to all students in the class;  Teaching according to the educational needs, abilities and achievement of the individual students and groups of students;  Adopting and working towards the implementation of the school development plan of the particular school they are giving service in;  Assigning work, correcting and marking work carried out by his/her students;  Assessing, recording and reporting on the development, progress, attainment and behaviour of one's students;  Providing or contributing to oral and written assessments, reports and references relating to individual students or groups of students;"
24,Sales Manager,Company Name Confidential,1-6 years,600000 - 700000 INR,"About the role :We're seeking a qualified Sales Manager to sell Whitehat Jr's classes that our customers have grown to rely on. The Sales Manager will utilize their skills to generate high-quality leads, build a strong relationship with customers, and close deals. The ideal candidate will be a quick learner with strong negotiating skills and demonstrate the ability to showcase our offerings compellingly.  An ideal candidate will be a quick learner with strong negotiating skills, and should be able to demonstrate the ability to showcase our offerings in a compelling way.Required Qualifications and experience :	Minimum of 1 year Sales experience and maximum of 10 years overall experience is required 	Proven B2C Sales track record 	Excellent communication, interpersonal, problem-solving, presentation, and organisational skills 	Comfortable with changes in shift timings 	Immediate joiners are preferred. Must have 1 month or less notice period"
25,English Professor Required In Canada | Hong Kong,Cloud Visa Immigration LLP,3-10 years,5000000 - 7000000 INR,"Call & WhatsApp to Ms.Sneha (HR)-9311529770 Teach courses commensurate to established syllabi. Advise and register assigned students as role of English professor. Participate in retention, placement and cooperative educational activities of students. Prepare and maintain current course syllabi, course outlines and classroom expectations for each course taught. Examine and recommend adequate instructional materials for courses taught. Involve in departmental budget and objectives development. Provide assistance in communication between College and community. Participate in formulation, interpretation and application of division policies and procedures. Participate in course schedules development and coordination. Provide assistance in English student recruitment. Update and maintain accurate academic records. Involve in assigned college committees and professional development activities."
26,Data Science Consultant,Blue Yonder,5-10 years,Not Specified,"Blue Yonder Title:Data Science Consultant (Luminate Planning Deploy & Operate)Other Comparable titles:Data Scientist, Data Science Engineer,Overview:Leading AI-driven Global Supply Chain Solutions Software Product Company and one of Glassdoor's Best Places to WorkSeeking an astute individual who has a strong statistical/analytical foundation with the additional ability to be hands-on with the broader team as part of the deploy/operate cycle. Knowledge of industry best practices, with the ability to implement them would be a bonus.Scope:Core responsibilities to include participation in onboarding of clients with Blue Yonder's Luminate Planning suite of solutions and their continued support during the BAU phase.The team currently comprises of 30 associates in India, part of a larger global team spread across US, Germany and is expected to grow rapidly. The incumbent will need to have leadership qualities to also mentor junior and mid-level associates in our teamWhat you'll do:Selecting features, building and optimizing classifiers using machine learning techniquesData mining using state-of-the-art methods & toolsExtending company's data with third party sources of information when neededEnhancing data collection procedures to include information that is relevant for building analytic systemsProcessing, cleansing, and verifying the integrity of data used for analysisPerforming ad-hoc analysis and presenting results in a clear mannerWhat we are looking for: Excellent understanding of machine learning techniques and algorithms, such as K means clustering, Naive Bayes etcExperience with common data science toolkits, such as Python, R, Weka, NumPy, MatLab, etc. Excellence in at least one of these is requiredExperience in Supply Chain conceptsExperience in Statistical Analysis, Operations Research concepts - Integer/Linear/Stochastic programmingExperience with data visualization tools, such as D3.jsProficiency in using query languages such as SQL, Hive, PigExperience with NoSQL databases, such as MongoDB, CassandraGood applied statistics skills, such as distributions, statistical testing, regression, etc.Good scripting and programming skillsData-oriented personalityBachelors or Masters in Computer Science w/Data Science specialtyExperience preferred: 5-10 yrsOur ValuesIf you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success - and the success of our customers. Does your heart beat like ours Find out here:  is our strategy for fostering an inclusive environment we can be proud of. Check out Blue Yonder's inaugural which outlines our commitment to change, and our celebrating the differences in all of us in the words of some of our associates from around the world.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status."
27,Faculty Required In Canada | Australia,Adal Immigrations LLP,2-7 years,5000000 - 7000000 INR,"Call & WhatsApp to Ms.Akansha-+91-9311380077We believe in providing the best possible facilities to our students. Guide, direct and mentor research scholars in their research projects. Development, administration and management at Institutional levels. Research development activities and Research guidance. Monitoring and evaluation of academic and research activities."
28,Hiring for a role of Teacher Success Manager (Technical Trainer) for an EduTech Industry,E-Hireo Global Solutions Private Limited,4-13 years,700000 - 2200000 INR,"Job Profile:  As the Teacher Success Manager (Curriculum Subject Matter Expert), you must create effective training methodology, evaluate performance metrics of training and ensure the plans meet business objectives.  You will work with the Curriculum Design Team and create learning resources for Teachers to ensure they effectively deliver the curriculum. These learning resources will include Videos, a repository of Frequently Asked Questions/Answers as well as other Supporting Documents.  You will conduct regular Train the Trainer workshops for the Top Teachers on the Platform to clarify their doubts so that they can effectively train other teachers on the Platform  You ensure immediate assistance to the Teachers when they have any curriculum-related queries or doubts. You will also do a Root Cause Analysis of the most frequently occurring queries and ensure structural solves in terms of learning resources and training workshops  As a Subject Matter expert, you suggest changes to the Curriculum Design Team in the Curriculum basis Teacher feedback/suggestions as well as ensure that the Curriculum is accurate without any errorsSkill Set :  Good written and verbal communication skills  Systems Thinking: Create strong and box learning resources for the curriculum to build a rocket-ship.  Experience in teaching the Primary/Middle Year Programme in International schools.  IB school preferred Years of Experience: At least 5 years experience in Teaching or Training on Coding."
29,Pre-Primary Teacher,Mount Litera Zee school,1-5 years,200000 - 300000 INR,"Planning, preparing and delivering lessons to all students in the class;  Teaching according to the educational needs, abilities and achievement of the individual students and groups of students;  Adopting and working towards the implementation of the school development plan of the particular school they are giving service in;  Assigning work, correcting and marking work carried out by his/her students;  Assessing, recording and reporting on the development, progress, attainment and behaviour of one's students;  Providing or contributing to oral and written assessments, reports and references relating to individual students or groups of students;"
30,Receptionist,Global Tech Institute Of Management Private Limited,0-1 years,120000 - 180000 INR,"Serves visitors by greeting, welcoming, and directing them appropriately.Notifies company personnel of visitor arrival.Maintains security and telecommunications system.Informs visitors by answering or referring inquiries.Directs visitors by maintaining employee and department directories.Maintains security by following procedures, monitoring logbook, and issuing visitor badges.Operates telecommunication system by following manufacturer’s instructions for house phone and console operation.Keeps a safe and clean reception area by complying with procedures, rules, and regulations.Supports continuity among work teams by documenting and communicating actions, irregularities, and continuing needs.Contributes to team effort by accomplishing related results as needed."
